#	"#Bachilo SM, Weisman, Narrow (n,m)-Distribution of SWCNTs Grown Using a Solid Supported Catalyst, JACS 2003.pdf"	#171				
#n	m	dt	E11	E22	É∆	E22/E11
5	4	0.62	1.488	2.567	26.32950349	1.725134409
6	4	0.69	1.42	2.134	23.41322445	1.502816901
9	1	0.76	1.359	1.789	5.208719103	1.316409124
8	3	0.78	1.302	1.87	15.2953443	1.43625192
6	5	0.76	1.272	2.187	26.9955084	1.719339623
7	5	0.83	1.212	1.925	24.50363346	1.588283828
10	2	0.88	1.177	1.689	8.948275565	1.435004248
9	4	0.92	1.126	1.722	17.4801702	1.529307282
8	4	0.84	1.114	2.112	19.10660535	1.895870736
7	6	0.89	1.105	1.916	27.4570761	1.733936652
9	2	0.81	1.088	2.25	9.826429816	2.068014706
12	1	0.99	1.059	1.556	3.963234967	1.46931067
8	6	0.97	1.058	1.732	25.28499605	1.63705104
11	3	1.01	1.036	1.565	11.741531	1.510617761
9	5	0.98	0.997	1.848	20.63300108	1.853560682
10	3	0.94	0.992	1.959	12.73052779	1.974798387
10	5	1.05	0.992	1.577	19.10660535	1.589717742
11	1	0.92	0.982	2.029	4.306619096	2.066191446
8	7	1.03	0.979	1.703	27.7957725	1.739530133
13	2	1.12	0.949	1.443	7.052677027	1.520547945
9	7	1.1	0.937	1.569	25.8721897	1.674493063
12	4	1.14	0.924	1.447	13.89788625	1.566017316
11	4	1.07	0.904	1.736	14.92086208	1.920353982
12	2	1.04	0.901	1.81	7.589089469	2.008879023
10	6	1.11	0.898	1.64	21.7867893	1.826280624
11	6	1.19	0.887	1.445	20.36259655	1.629086809
9	8	1.17	0.877	1.533	28.05488092	1.748004561
15	1	1.23	0.87	1.337	3.197939599	1.536781609
10	8	1.24	0.841	1.428	26.32950349	1.697978597
13	5	1.28	0.835	1.336	15.6083986	1.6
12	5	1.2	0.829	1.559	16.62717419	1.880579011
13	3	1.17	0.828	1.631	10.15832979	1.969806763
10	9	1.31	0.797	1.39	28.25949696	1.744040151
