#PL map ref‚Ü‚Æ‚ß(070130)			micelle & suspended			
#Bachilo JACS 2003						
#Lebedkin New JP 2003						
#No. 1-8	: Lefebvre APA 2004					
#No. 101-	Lebefkin + hanashima (2007?)					
#			micelle		suspended	
# No	"(n,"	m)	E11 eV	E22 eV	E11 eV	E22 eV
1	12	1	1.059	1.556	|	|
2	11	3	1.036	1.565	1.06	1.593
3	10	5	0.992	1.577	1.011	1.601
4	9	7	0.937	1.569	0.964	1.588
5	10	6	0.898	1.64	0.929	1.651
6	9	8	0.877	1.533	0.904	1.55
7	13	3	0.828	1.631	0.865	1.64
8	12	5	0.829	1.559	0.86	1.566
100	11	7	0.814	1.481	0.842	1.502
101	11	6	0.886	1.455	0.9087	1.495
102	8	7	0.979	1.708	1	1.74
