#															
#	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
#E11_eV	E22_eV	E11_eV	E12_eV	E11_eV	EL1_eV	E11_eV	EL1*_eV	E11_eV	E22+G_eV	E11_eV	E22+2G_eV	E11_eV	ET1_eV	E11_eV	ET2_eV
1.217703271	1.688207066	1.217703271	1.686001983	1.217703271	1.732931116	1.217703271	1.852931116	1.217703271	1.885207066	1.217703271	2.082207066	1.217703271	1.794772306	1.217703271	2.040936721
1.19913924	1.700803012	1.19913924	1.67964361	1.19913924	1.70809633	1.19913924	1.82809633	1.19913924	1.897803012	1.19913924	2.094803012	1.19913924	1.787090107	1.19913924	2.030258494
1.14938458	1.724983947	1.14938458	1.658052666	1.14938458	1.640819701	1.14938458	1.760819701	1.14938458	1.921983947	1.14938458	2.118983947	1.14938458	1.76180008	1.14938458	1.99659686
1.081656325	1.734216706	1.081656325	1.617375145	1.081656325	1.547522472	1.081656325	1.667522472	1.081656325	1.931216706	1.081656325	2.128216706	1.081656325	1.715724666	1.081656325	1.938305158
1.038933204	2.014952828	1.038933204	1.761972598	1.038933204	1.530368325	1.038933204	1.650368325	1.038933204	2.211952828	1.038933204	2.408952828	1.038933204	1.865720013	1.038933204	2.100516793
1.03702219	1.947752218	1.03702219	1.719798491	1.03702219	1.5177338	1.03702219	1.6377338	1.03702219	2.144752218	1.03702219	2.341752218	1.03702219	1.821282053	1.03702219	2.050955378
1.02751688	1.835982918	1.02751688	1.646745902	1.02751688	1.488732002	1.02751688	1.608732002	1.02751688	2.032982918	1.02751688	2.229982918	1.02751688	1.744113539	1.02751688	1.964471875
1.005074131	1.708223447	1.005074131	1.557888448	1.005074131	1.441036154	1.005074131	1.561036154	1.005074131	1.905223447	1.005074131	2.102223447	1.005074131	1.649924875	1.005074131	1.858217842
1.084347647	1.567986077	1.084347647	1.541549847	1.084347647	1.536663892	1.084347647	1.656663892	1.084347647	1.764986077	1.084347647	1.961986077	1.084347647	1.637038832	1.084347647	1.853145482
1.060119525	1.577374797	1.060119525	1.529702815	1.060119525	1.504032878	1.060119525	1.624032878	1.060119525	1.774374797	1.060119525	1.971374797	1.060119525	1.623417856	1.060119525	1.835509791
1.017269762	1.585070378	1.017269762	1.504486678	1.017269762	1.445692968	1.017269762	1.565692968	1.017269762	1.782070378	1.017269762	1.979070378	1.017269762	1.594931577	1.017269762	1.799622664
0.963773274	1.578182201	0.963773274	1.465082543	0.963773274	1.371729304	0.963773274	1.491729304	0.963773274	1.775182201	0.963773274	1.972182201	0.963773274	1.551206594	0.963773274	1.746118919
0.945553545	1.800831254	0.945553545	1.588330486	0.945553545	1.377696849	0.945553545	1.497696849	0.945553545	1.997831254	0.945553545	2.194831254	0.945553545	1.679560739	0.945553545	1.886029207
0.939867833	1.736405906	0.939867833	1.545960214	0.939867833	1.361130258	0.939867833	1.481130258	0.939867833	1.933405906	0.939867833	2.130405906	0.939867833	1.634893392	0.939867833	1.836163218
0.926780414	1.646691128	0.926780414	1.484548355	0.926780414	1.331602292	0.926780414	1.451602292	0.926780414	1.843691128	0.926780414	2.040691128	0.926780414	1.570010751	0.926780414	1.763425649
0.904334502	1.547716065	0.904334502	1.413042823	0.904334502	1.289069899	0.904334502	1.409069899	0.904334502	1.744716065	0.904334502	1.941716065	0.904334502	1.49426474	0.904334502	1.678082763
0.982769908	1.457829811	0.982769908	1.421480543	0.982769908	1.387591786	0.982769908	1.507591786	0.982769908	1.654829811	0.982769908	1.851829811	0.982769908	1.50694294	0.982769908	1.700357837
